RegAdm,Ville,NoAuto,Enseigne,AdrNumVoie,AdrComplement,AdrCommune,AdrCdPostal
PACA,NICE,7-290.032,VARIETES,5/7 BD VICTOR HUGO,,NICE,6000
PACA,NICE,7-290.022,RIALTO,4 RUE DE RIVOLI,,NICE,6000
LANG-ROUSS,NARBONNE,7-285.975,LE CINEMA SCENE NATIONALE DE NARBONNE,2 AVENUE MAITRE HUBERT MOULY,,NARBONNE,11100
LANG-ROUSS,NARBONNE,7-285.966,MEGA CGR,ZI CROIX SUD,ROUTE DE PERPIGNAN,NARBONNE,11100
PACA,MOUANS SARTOUX,7-279.663,STRADA,AVENUE DE CANNES,,MOUANS SARTOUX,6370
PACA,MOUANS SARTOUX,7-279.662,PLEIN AIR LE CHATEAU,13 PLACE SUZANNE VILLENEUVE,,MOUANS SARTOUX,6370
LANG-ROUSS,MONTPELLIER,7-275.334,CINEMA NESTOR BURMA,2 RUE MARCELIN ALBERT,,MONTPELLIER,34000
LANG-ROUSS,MONTPELLIER,7-275.311,GAUMONT MULTIPLEXE,235 RUE GEORGES MELIES,,MONTPELLIER,34000
LANG-ROUSS,MONTPELLIER,7-275.273,GAUMONT COMEDIE,10 PLACE DE LA COMEDIE,,MONTPELLIER,34000
LANG-ROUSS,MONTPELLIER,7-275.222,ROYAL,13 RUE BOUSSAIROLLES,,MONTPELLIER,34000
LANG-ROUSS,MONTPELLIER,7-275.203,UTOPIA DIAGONAL CAMPUS,5 AV DU DOCTEUR PEZET,,MONTPELLIER,34000
LANG-ROUSS,MONTPELLIER,7-275.201,DIAGONAL CAPITOLE,5 RUE DE VERDUN,ET 6 RUE VANEAU,MONTPELLIER,34000
PACA,MONTGENEVRE,7-272.358,CINEMA JEAN GABIN,RUE DES ECOLES,,MONTGENEVRE,5100
PACA,MONTAUROUX,7-268.972,MAISON POUR TOUS,ROND POINT DU 8 MAI,,MONTAUROUX,83440
PACA,MONETIER LES BAINS,7-266.752,LOUIS LUMIERE,RUE DES ECOLES,,LE MONETIER LES BAINS,5220
PACA,MIRAMAS,7-263.261,COMOEDIA,15 RUE LOUIS CASTAGNE,,MIRAMAS,13140
LANG-ROUSS,MEZE,7-261.623,LE TAURUS,RUE DE LA MEDITERRANEE,,MEZE,34140
PACA,MENTON,7-257.302,EDEN,11 RUE DE LA REPUBLIQUE,,MENTON,6500
LANG-ROUSS,MENDE,7-256.211,TRIANON,BD LUCIEN ARNAULT,,MENDE,48000
LANG-ROUSS,MARVEJOLS,7-251.251,TRIANON, 4 RUE PAUL MENDRAS,,MARVEJOLS,48100
PACA,MARTIGUES,7-250.935,JEAN RENOIR,ALLEE JEAN RENOIR,PARADIS ST ROCH,MARTIGUES,13500
PACA,MARSEILLE,7-250.409,ENCRE DE LUMIERE,192 RUE HORACE BERTIN,,MARSEILLE,13005
PACA,MARSEILLE,7-249.942,ALHAMBRA  VTHR,2 RUE DU CINEMA,,MARSEILLE,13016
PACA,MARSEILLE,7-249.831,LES TROIS PALMES,2 BOULEVARD LEON BANCAL,,MARSEILLE,13011
PACA,MARSEILLE,7-249.791,VARIETES,35 37 RUE VINCENT SCOTTO,,MARSEILLE,13001
PACA,MARSEILLE,7-249.772,CINEMAC 2,CENTRE DE LA VIEILLE CHARITE,, MARSEILLE,13002
PACA,MARSEILLE,7-249.581,CHAMBORD,283 AVENUE DU PRADO,,MARSEILLE,13008
PACA,MARSEILLE,7-249.563,CESAR,4 PLACE CASTELLANE,,MARSEILLE,13006
PACA,MARSEILLE,7-249.471,PATHE MADELEINE,36 AVENUE DU MARECHAL FOCH,,MARSEILLE,13004
PACA,MARSEILLE,7-249.451,BONNEVEINE,CENTRE COMMERCIAL BONNEVEINE,AVENUE DE HAMBOURG,MARSEILLE,13008
PACA,MARSEILLE,7-249.441,PRADO,36 AVENUE DU PRADO,,MARSEILLE,13006
PACA,MARIGNANE,7-247.565,THE ALAMO,AVENUE JEAN MERMOZ,,MARIGNANE,13700
PACA,MANOSQUE,7-244.381,LIDO,2 AVENUE SAINT- LAZARE,,MANOSQUE,4100
PACA,MANDELIEU LA NAPOULE,7-243.839,SALLE LEONARD DE VINCI,ESTEREL GALLERY,,MANDELIEU LA NAPOULE,6210
PACA,MANDELIEU LA NAPOULE,7-243.836,STAR  PLEIN AIR,FACE HOTEL ROYAL,,MANDELIEU LA NAPOULE,6210
LANG-ROUSS,LUNEL,7-236.511,ATHENEE,52 RUE LAKANAL,,LUNEL,34400
PACA,LE LUC,7-235.561,LE CINEMA,11 RUE DE LA REPUBLIQUE,,LE LUC,83340
PACA,LORGUES,7-232.943,LE CINEMA,COURS DE LA REPUBLIQUE,,LORGUES,83510
PACA,LA LONDE-LES-MAURES,7-231.445,LE FORUM,LA BAIE DES ISLES,,LA LONDE LES MAURES,83250
LANG-ROUSS,LODEVE,7-230.475,LES CINEMAS LUTEVA,BD JOSEPH MAURY,,LODEVE,34700
LANG-ROUSS,LIMOUX,7-228.531,ELYSEE,9 AV DES MARRONNIERS,,LIMOUX,11300
LANG-ROUSS,LIGNAN-SUR-ORB,7-226.311,STAR,RUE INGARRIGUES,,LIGNAN SUR ORB,34490
LANG-ROUSS,LEZIGNAN-CORBIERES,7-225.081,PALACE, 29  COURS DE LA REPUBLIQUE,,LEZIGNAN CORBIERES,11200
LANG-ROUSS,LEUCATE,7-224.165,CLAP CINE,RUE SALVADOR DALI,,PORT LEUCATE,11370
LANG-ROUSS,LEUCATE,7-224.164,CAP SUD PLEIN AIR,CAMPING MUNICIPAL,CAP LEUCATE,LEUCATE PLAGE,11370
LANG-ROUSS,LEUCATE,7-224.161,LE NEPTUNE,RUE DE LA JONQUIERE,,LEUCATE,11370
PACA,LE LAVANDOU,7-220.334,THEATRE DE VERDURE,PARC DE LOISIRS DU GRAND JARDIN,AVENUE DU GRAND JARDIN,LE LAVANDOU,83980
PACA,LE LAVANDOU,7-220.331,LEVENDOR CINE,PLACE DES JOYEUSES VACANCES,,LE LAVANDOU,83980
LANG-ROUSS,LAUDUN,7-219.313,GERARD PHILIPE,PLACE JULES FERRY,,LAUDUN,30290
LANG-ROUSS,LATTES,7-219.202,IMAGO,ROUTE DE PEROLS,,LATTES,34970
LANG-ROUSS,LATTES,7-219.191,MEGA CGR,ZAC DES COMMANDEURS,,LATTES,34970
PACA,LARAGNE MONTEGLIN,7-217.372,REGAIN,1 RUE DE LA PAIX,,LARAGNE MONTEGLIN,5300
LANG-ROUSS,LANGOGNE,7-215.581,CENTRE CULTUREL  RENE RAYNAL,RUE DES RIBES,,LANGOGNE,48300
LANG-ROUSS,LAMALOU-LES-BAINS,7-213.233,L IMPERIAL,24 AVENUE CHARCOT,,LAMALOU LES BAINS,34240
PACA,ISTRES,7-202.292,LE COLUCHE,ALLEES JEAN JAURES,,ISTRES,13800
PACA,ISOLA,7-201.821, CINEMA CLUB 2000,STATION ISOLA 2000,,ISOLA,6420
LANG-ROUSS,ILLE-SUR-TET,7-200.543,REX,RUE J J ROUSSEAU,,ILLE SUR TET,66130
PACA,HYERES,7-199.837,LE CADRAN SOLAIRE,ILES DE PORQUEROLLES,,HYERES,83400
PACA,HYERES,7-199.831,OLBIA,4 RUE DU SOLDAT BELLON,,HYERES,83400
PACA,GUILLESTRE,7-188.341, LE RIOUBEL,QUARTIER LA LONGEAGNE,,GUILLESTRE,5600
CORSE,GROSSETO PRUGNA,7-186.484,STAR 1 PUCCI,ECOLE MATERNELLE,,GROSSETO PRUGNA,20128
CORSE,GROSSETO PRUGNA,7-186.482,STAR,LES MARINES DE PORTICCIO,GROSSETO PRUGNA,PORTICCIO,20166
PACA,GREOUX LES BAINS,7-185.172,SALLE DU FELIBRIGE,PLACE DES AIRES SOUS LA POSTE,,GREOUX LES BAINS,4800
LANG-ROUSS,LE GRAU-DU-ROI,7-184.217,CAMPING MUNICIPAL ESPIGUETTE,,,LE GRAU DU ROI,30240
LANG-ROUSS,LE GRAU-DU-ROI,7-184.213,VOG,LE BOUCANET,RUE DES IRIS,LE GRAU DU ROI,30240
PACA,GRASSE,7-184.053,CINEMA  STUDIO,15 RUE DU JEU DE BALLON,,GRASSE,6130
PACA,GRASSE,7-184.014,M J C,ALTITUDE 500  ROUTE NAPOLEON,,GRASSE,6130
PACA,GRANS,7-183.942,ESPACE ROBERT HOSSEIN,BOULEVARD VICTOR JAUFFRET,,GRANS,13450
PACA,GAUDE,7-173.991,LA COUPOLE,QUARTIER SAINTE APPOLONIE,,LA GAUDE,6610
PACA,LA GARDE,7-173.083,LE ROCHER,AV MARX DORMOY,,LA GARDE,83130
PACA,LA GARDE,7-173.060,PATHE GRAND CIEL,ZAC GRAND CIEL,22 AVENUE ANDRE LURCAT,LA GARDE,83130
PACA,GARDANNE,7-172.961,CASINO,11 COURS FORBIN,,GARDANNE,13120
PACA,GAP,7-172.744,LE CLUB,RUE BON HOTEL,,GAP,5000
PACA,GAP,7-172.743,LE CENTRE,20 BIS RUE DE L IMPRIMERIE,,GAP,5000
PACA,GAP,7-172.741,PALACE,63 RUE CARNOT,,GAP,5000
LANG-ROUSS,GANGES,7-172.662,L'ARC EN CIEL,7 RUE EMILE PLANCHON,,GANGES,34190
CORSE,FURIANI,7-171.650,7EME ART,ROUTE DU VILLAGE,,FURIANI,20600
LANG-ROUSS,FRONTIGNAN,7-171.242,CINE MISTRAL, AVENUE FREDERIC MISTRAL,,FRONTIGNAN LA PEYRADE,34110
PACA,FREJUS,7-168.961,REX PLEIN AIR,QUARTIER DE VILLEPEY,RESIDENCE DU CAMPEUR, FREJUS CNE DE SAINT AYGULF,83371
PACA,FREJUS,7-168.953,CINEMA DU PIN DE LA LEGUE,DOMAINE DU PIN DE LA LEGUE,ROUTE DE BAGNOLS EN FORET,FREJUS,83600
PACA,FREJUS,7-168.942,LE VOX,PLACE AGRICOLA,,FREJUS,83600
PACA,FOS-SUR-MER,7-165.882,ODYSSEE,QUARTIER DU MAZET,AVENUE RENE CASSIN,FOS SUR MER,13270
PACA,FORCALQUIER,7-164.831,LE BOURGUET,PLACE DU BOURGUET,,FORCALQUIER,4300
PACA,FONTVIEILLE,7-164.771,EDEN,GRAND RUE,,FONTVIEILLE,13990
LANG-ROUSS,FONT-ROMEU-ODEILLO-VIA,7-164.731,CASINO, 46 RUE EMMANUEL BROUSSE,,FONT ROMEU ODEILLO VIA,66120
PACA,FAYENCE,7-157.011,ESPACE CULTUREL,2 RUE DU TERME,,FAYENCE,83440
PACA,EYGUIERES,7-154.712,LE GRENIER DE L ALCAZAR,PLACE THIERS,,EYGUIERES,13430
PACA,ENCHASTRAYES,7-146.931,CINE SAUZE,PLACE DE SAUZE,,ENCHASTRAYES,4400
PACA,EMBRUN,7-146.762,LE ROC,BOULEVARD PASTEUR,,EMBRUN,5200
LANG-ROUSS,ELNE,7-146.576,RENE VAUTIER,BOULEVARD VOLTAIRE,,ELNE,66200
PACA,DRAGUIGNAN,7-142.612,ELDORADO I,PLACE RENE CASSIN,,DRAGUIGNAN,83300
PACA,DIGNE LES BAINS,7-138.595,CINE TOILES,AVENUE FRANCOIS CUZIN,,DIGNE LES BAINS,4000
PACA,DIGNE LES BAINS,7-138.594,RENCONTRES,CENTRE CULTUREL PIERRE GASSENDI,45 AVENUE DU 8 MAI,DIGNE LES BAINS,4000
PACA,CUCURON,7-131.031,LE CIGALON,COURS DE POURRIERES,CUCURON,CADENET,84160
CORSE,CORTE,7-121.792,CINEMA L ALBA,CAMPING ALIVETU FG ST ANTOINE,,CORTE,20250
CORSE,CORBARA,7-120.241,FOGATA,COL DE FOGATA,CORBARA,L ILE ROUSSE,20220
LANG-ROUSS,COLLIOURE,7-116.613,MONDIAL CINEMA, 18 PLACE DU 18 JUIN,,COLLIOURE,66190
PACA,COGOLIN,7-116.021,RAIMU,AVENUE GEORGE CLEMENCEAU,,COGOLIN,83310
LANG-ROUSS,CLERMONT-L HERAULT,7-114.564,ALAIN RESNAIS,RUE ROGER SALASC,,CLERMONT L HERAULT,34800
PACA,LA CIOTAT,7-112.811,LUMIERE,PLACE EVARISTE GRAS,,LA CIOTAT,13600
PACA,CHATEAURENARD,7-104.824,CINEMA LE REX,AVENUE LEO LAGRANGE,,CHATEAURENARD,13160
PACA,CHATEAUNEUF-LES-MARTIGUES,7-104.661,ESPACE MARCEL PAGNOL,RUE ERASME GUICHET,,CHATEAUNEUF LES MARTIGUES,13220
PACA,CHATEAU ARNOUX SAINT AUBA,7-103.985,CINEMATOGRAPHE SLE CHAPLIN,CENTRE CULTUREL SIMONE SIGNORET,,CHATEAU ARNOUX,4160
LANG-ROUSS,CERET,7-092.302,CERETAN,BLD GEORGES CLEMENCEAU,,CERET,66400
PACA,CAVALAIRE-SUR-MER,7-090.345,ECRAN BLEU EX CINE BLEU,SQUARE DE LATTRE DE TASSIGNY,,CAVALAIRE SUR MER,83240
PACA,CAVAILLON,7-090.313,LA CIGALE,79 AV DU MARECHAL JOFFRE,,CAVAILLON,84300
PACA,CAVAILLON,7-090.312,FEMINA,58 COURS GAMBETTA,,CAVAILLON,84300
LANG-ROUSS,CASTELNAUDARY,7-088.235,LA HALLE AUX GRAINS,PLACE DE LA REPUBLIQUE,,CASTELNAUDARY,11400
LANG-ROUSS,CASTELNAUDARY,7-088.233,PARIS,9 RUE DE LA COMEDIE,,CASTELNAUDARY,11400
PACA,CASSIS,7-087.645,ST MICHEL  PLEIN AIR,AV DU DOCTEUR E AGOSTINI,,CASSIS,13260
PACA,CARRY-LE-ROUET,7-086.952,ESPACE FERNANDEL,AV ARISTIDE BRIAND,,CARRY LE ROUET,13620
PACA,CARROS,7-086.930,JULIETTE GRECO,BOULEVARD LA COLLE BELLE,,CARROS,6510
PACA,CARQUEIRANNE,7-086.843,LES SALETTES,CINEMA PLEIN AIR LES SALETTES,RUE ELIE GAUTHIER,CARQUEIRANNE,83320
PACA,CARPENTRAS,7-086.781,RIVOLI,56 AVENUE VICTOR HUGO,,CARPENTRAS,84200
PACA,CARNOUX-EN-PROVENCE,7-086.693,ESPACE ARTS ET LOISIRS,AVENUE CARDINAL DE LAVIGERIE,,CARNOUX EN PROVENCE,13470
LANG-ROUSS,CARCASSONNE,7-086.103,CAP CINEMA CARCASSONNE,ZONE DU PONT ROUGE,,CARCASSONNE,11000
LANG-ROUSS,CARCASSONNE,7-086.054,CAP CINEMA LE COLISEE,10 BD OMER SARRAUT,,CARCASSONNE,11000
PACA,CANNET,7-084.830,CANNET TOILES,,1 RUE VICTORIEN SARDOU,LE CANNET,6110
PACA,CANNES,7-084.782,ALEXANDRE III,19 BD ALEXANDRE III,,CANNES,6400
PACA,CANNES,7-084.781,MIRAMAR,RUE PASTEUR - ANGLE CROISETTE,,CANNES,6400
PACA,CANNES,7-084.774,PROSPER MERIMEE,25 AVENUE FRANCIS TOMER,,CANNES,6400
PACA,CANNES,7-084.761,OLYMPIA 5 A 9,5 RUE D ANTIBES,,CANNES,6400
PACA,CANNES,7-084.745,SALLE RAIMU,CENTRE DE RANGUIN,,CANNES LA BOCCA,6150
PACA,CANNES,7-084.734,STUDIO 13,23 AV DU DOCTEUR PICAUD,,CANNES,6400
PACA,CANNES,7-084.715,STAR,98 RUE D ANTIBES,,CANNES,6400
PACA,CANNES,7-084.712,ARCADES,77 RUE FELIX FAURE,,CANNES,6400
PACA,CANNES,7-084.711,OLYMPIA,5 RUE D ANTIBES,,CANNES,6400
LANG-ROUSS,CANET-EN-ROUSSILLON,7-084.552,LE LIDO, BOULEVARD TIXADOR,,CANET EN ROUSSILLON,66140
PACA,CAGNES SUR MER,7-081.541,ESPACE  CENTRE,5 AV DE VERDUN,,CAGNES SUR MER,6800
LANG-ROUSS,CABESTANY,7-080.942,CENTRE CULTUREL,RUE DU 19 MARS 1962,,CABESTANY,66330
PACA,BRIGNOLES,7-075.021,LA BOITE A IMAGES,PLACE DU 8 MAI 1945,,BRIGNOLES,83170
PACA,BRIANCON,7-074.324,CINE VAUBAN,45 AV DE LA REPUBLIQUE,,BRIANCON,5100
PACA,BRIANCON,7-074.322,EDEN STUDIO,35 RUE PASTEUR,,BRIANCON,5100
LANG-ROUSS,LE BOULOU,7-067.021,MAJESTIC,ROUTE NATIONALE,,LE BOULOU,66160
CORSE,BORGO,7-064.151,LA MARANA,,,BORGO,20290
CORSE,BONIFACIO,7-061.603,LA CISTERNA,,,BONIFACIO,20169
PACA,BOLLENE,7-061.132,LE CLAP,PLACE DE LA MAIRIE,,BOLLENE,84500
LANG-ROUSS,BEZIERS,7-054.604,MONCINE,CENTRE COMMERCIAL POLYGONE,3 CARREFOUR DE L'HOURS,BEZIERS,34500
LANG-ROUSS,BEZIERS,7-054.541,CGR PALACE,7 AVENUE SAINT-SAENS,,BEZIERS,34500
PACA,BERRE-L ETANG,7-051.261,CINE 89,COURS MIRABEAU,,BERRE L ETANG,13130
LANG-ROUSS,BEDARIEUX,7-046.602,STAR 2,10 RUE SAINT LOUIS,,BEDARIEUX,34600
PACA,BEAULIEU SUR MER,7-044.502,CINEMA CASINO,RUE ALBERT 1ER,,BEAULIEU SUR MER,6310
CORSE,BASTIA,7-041.134,STUDIO CINEMAS,1 RUE DE LA MISERICORDE,,BASTIA,20200
CORSE,BASTIA,7-041.131,REGENT,5  TER RUE CESAR CAMPINCHI,,BASTIA,20200
PACA,BARJOLS,7-039.442,L ODEON,RUE BARRI,,BARJOLS,83670
LANG-ROUSS,BARJAC,7-039.428,REGAIN,L ESPLANADE,,BARJAC,30430
PACA,BARGEMON,7-039.281,SALLE SOLFERINO,CANJUERS ARMEE,,BARGEMON,83830
PACA,BARCELONNETTE,7-038.931,L UBAYE,19 RUE HENRI MERCIER,,BARCELONNETTE,4400
LANG-ROUSS,LE BARCARES,7-038.903,CINEMA JEAN COCTEAU,ESPACE CULTUREL JEAN COCTEAU,,BARCARES,66420
PACA,BANDOL,7-037.881,CAMERA,1O5 AV DU 11 NOVEMBRE,,BANDOL,83150
LANG-ROUSS,BALARUC-LES-BAINS,7-037.021,CINECURE,RUE MAURICE CLAVEL,,BALARUC LES BAINS,34540
LANG-ROUSS,BAGNOLS-SUR-CEZE,7-036.122,CASINO,14 RUE DU CASINO,,BAGNOLS SUR CEZE,30200
PACA,AVIGNON,7-033.801,PATHE CAP SUD,ZONE COMMERCIALE CAP SUD,ZAC CROIX DE NOVES,AVIGNON,84000
PACA,AVIGNON,7-033.791,UTOPIA MANUTENTION 1,4 RUE DES ESCALIERS SAINTE ANNE,,AVIGNON,84000
PACA,AVIGNON,7-033.772,UTOPIA REPUBLIQUE (UTOPIA 5),5 RUE FIGUIERE,,AVIGNON,84000
PACA,AVIGNON,7-033.751,VOX,22 PLACE DE L HORLOGE,,AVIGNON,84000
PACA,AVIGNON,7-033.742,PATHE PALACE,38 COURS JEAN JAURES,,AVIGNON,84000
PACA,AVIGNON,7-033.741,CAPITOLE,3 RUE POURQUERY DE BOISSERIN,,AVIGNON,84000
PACA,AUBAGNE,7-027.834,PALACE,11 AV LOUIS DELFIEU,,AUBAGNE,13400
PACA,AUBAGNE,7-027.833,PAGNOL 1  EX NEMO,COURS FOCH,,AUBAGNE,13400
PACA,ARLES,7-023.954,SALLE POLYVALENTE - SALIN DE GIRAUD,SALIN DE GIRAUD,BOULEVARD DE LA GARE,ARLES,13200
PACA,ARLES,7-023.951,ACTES SUD LE MEJAN,23 QUAI MARX DORMOY,,ARLES,13200
PACA,ARLES,7-023.933,FEMINA,8 BD EMILE ZOLA,,ARLES,13200
PACA,ARGENTIERE LA BESSEE,7-023.392,L EAU VIVE,AVENUE CHARLES DE GAULLE,,L ARGENTIERE LA BESSEE,5120
LANG-ROUSS,ARGELES-SUR-MER,7-023.102,CINEMA JAURES,RUE JEAN JAURES,,ARGELES SUR MER,66700
LANG-ROUSS,ARGELES-SUR-MER,7-023.094,VOX,8 BD DU CANIGOU,,ARGELES SUR MER,66700
PACA,APT,7-021.532,CESAR,RUE SCUDERY,,APT,84400
PACA,ANTIBES,7-020.672,CASINO,6 ET 8 BD DU 24 AOUT,,ANTIBES,6600
LANG-ROUSS,LES ANGLES,7-019.242,LE CASTEILL,PLACE DU CASTELL,,LES ANGLES,66210
LANG-ROUSS,AMELIE-LES-BAINS-PALALDA,7-017.082,CASINO MUNICIPAL,4 AVENUE DU DOCTEUR BOUIX,,AMELIE LES BAINS PALALDA,66110
LANG-ROUSS,AMELIE-LES-BAINS-PALALDA,7-017.072,ALCAZAR,RUE JOSEPH COSTE,,AMELIE LES BAINS PALALDA,66110
PACA,ALLOS,7-015.741,CINEMA DE L AIGUILLE,RESIDENCE DE L AIGUILLE,,LA FOUX D ALLOS,4260
LANG-ROUSS,ALES,7-014.531,ARCADES BIS,8 RUE MANDAJORS,,ALES,30100
LANG-ROUSS,ALES,7-014.521,ARCADES,10 PLACE GABRIEL PERI,,ALES,30100
LANG-ROUSS,ALENYA,7-014.460,SALLE ECOIFFIER,COMMUNAUTE DE CNE SUD ROUSSILLON,16 RUE THARAUD,SAINT CYPRIEN,66750
CORSE,AJACCIO,7-013.686,L ELLIPSE,LIEUDIT BODICCIONE,BD LOUIS CAMPI,AJACCIO,20000
CORSE,AJACCIO,7-013.685,ESPACE DIAMANT,BOULEVARD PASCAL ROSSIMI,,AJACCIO,20304
CORSE,AJACCIO,7-013.684,AUDITORIUM PASCAL PAOLI,PALAIS DES CONGRES EXPOSITIONS,QUAI L HERMINIER BP 253,AJACCIO,20000
CORSE,AJACCIO,7-013.683,PALAIS DES CONGRES,QUAI L HERMINIER,,AJACCIO,20000
CORSE,AJACCIO,7-013.682,AIGLON,10 COURS GRAND VAL,,AJACCIO,20000
CORSE,AJACCIO,7-013.675,EMPIRE,30 COURS NAPOLEON,,AJACCIO,20000
CORSE,AJACCIO,7-013.672,CINEMA LAETITIA,24 COURS NAPOLEON,,AJACCIO,20000
CORSE,AJACCIO,7-013.671,BONAPARTE,10 COURS NAPOLEON,,AJACCIO,20000
PACA,AIX-EN-PROVENCE,7-013.454,ARMAND LUNEL,RUE DES ALLUMETTES,,AIX EN PROVENCE,13100
PACA,AIX-EN-PROVENCE,7-013.423,LE MAZARIN,3TER RUE MAZARINE - 6 RUE LAROQU,,AIX EN PROVENCE,13100
PACA,AIX-EN-PROVENCE,7-013.413,CEZANNE,1 RUE MARCEL GUILLAUME,,AIX EN PROVENCE,13100
PACA,AIX-EN-PROVENCE,7-013.405,RENOIR,24 COURS MIRABEAU,,AIX EN PROVENCE,13100
LANG-ROUSS,AIGUES-MORTES,7-012.454,CINEMA MARCEL PAGNOL,9 RUE VICTOR HUGO,,AIGUES MORTES,30220
LANG-ROUSS,AGDE,7-011.527,TRAVELLING,FORUM JEAN ROGER,RUE BRESCOU,AGDE,34300
RHONE-ALP,BOURG EN BRESSE,6-721.100,AMPHI,1 ALLEE DES BROTTEAUX,,BOURG EN BRESSE,1000
RHONE-ALP,AIX-LES-BAINS,6-720.800,LES TOILES DU LAC,14 RUE DANIEL ROPS,,AIX LES BAINS,73100
RHONE-ALP,AMBERIEU EN BUGEY,6-720.500,CINE FESTIVAL,3 AVENUE DE VERDUN,,AMBERIEU EN BUGEY,1500
FRAN-COMTE,AUDINCOURT,6-720.450,MEGARAMA,ESPACE LUMIERE,12 BOULEVARD MOISE FOGLIA,AUDINCOURT,25400
AUVERGNE,VICHY,6-720.350,CINEMA ELYSEE PALACE,CENTRE COMMERCIAL,LES 4 CHEMINS,VICHY,3200
RHONE-ALP,VAUGNERAY,6-715.100,CINEVAL,PLACE DU 8 MAI 1945,,VAUGNERAY,69670
RHONE-ALP,VAUGNERAY,6-715.100,CINEVAL,PLACE DU 8 MAI 1945,,VAUGNERAY,69670
AUVERGNE,ARLANC,6-713.400,JARDIN POUR LA TERRE,COMMUNAUTE DES COMMUNES D ARLANC,MAIRIE,ARLANC,63220
RHONE-ALP,USSON-EN-FOREZ,6-710.250,LE QUAI DES ARTS,LA GARE,,USSON EN FOREZ,42550
RHONE-ALP,SURY-LE-COMTAL,6-710.200,SALLE DES FETES DES CHARDONNES,MAIRIE,PLACE DE L'HOTEL DE VILLE,SURY LE COMTAL,42450
RHONE-ALP,BALBIGNY,6-709.650,ESPACE LUMIERE,PLACE LANGLADE,,BALBIGNY,42510
RHONE-ALP,BRIGNAIS,6-700.000,MEGA CGR,RUE DE L'INDUSTRIE - ZI NORD,LES VALLIERES,BRIGNAIS,69530
AUVERGNE,YSSINGEAUX,6-469.500,CINEMA GRENETTE,PLACE DE LA VICTOIRE,,YSSINGEAUX,43200
AUVERGNE,YOUX,6-469.401,MAISON DE LA VALLEE DE MONTJOIE,COMMUNE DE YOUX,3 RUE DE LA MAIRIE,YOUX,63700
AUVERGNE,YOUX,6-469.400,SALLES DES FETES,MAIRIE DE YOUX,3 RUE DE LA MAIRIE,YOUX,63700
AUVERGNE,YDES,6-469.181,CINEVOX,RUE DU 11 NOVEMBRE,,YDES,15210
RHONE-ALP,VOREPPE,6-465.193,ART ET PLAISIRS,PLACE ARMAND PUGNOT,,VOREPPE,38340
RHONE-ALP,VOIRON,6-464.706,PASS R L,RUE DES FABRIQUES,,VOIRON,38500
RHONE-ALP,VOIRON,6-464.694,ROYAL,9 AV JEAN JAURES,,VOIRON,38500
RHONE-ALP,VOIRON,6-464.692,ECRAN,RUE GEORGES CLEMENCEAU,,VOIRON,38500
RHONE-ALP,VIZILLE,6-464.453,LE JEU DE PAUME,SQUARE DE LA REVOLUTION,,VIZILLE,38220
BOURGOGNE,VITTEAUX,6-463.982,SALLE GUENIOT,COMMUNE DE VITTEAUX,MAIRIE RUE DE L'HOTEL DE VILLE,VITTEAUX,21250
RHONE-ALP,VILLIEU LOYES MOLLON,6-461.760,CENTRE INNOVANCE,ASSOCIATION ART ET CULTURE,MAIRIE AVE CHARLES DE GAULLE,VILLIEU LOYES MOLLON,1800
RHONE-ALP,VILLEURBANNE,6-460.784,ZOLA,117 COURS EMILE ZOLA,,VILLEURBANNE,69100
RHONE-ALP,VILLEURBANNE,6-460.742,THEATRE BONNETERRE,46 COURS JEAN DAMIDOT,,VILLEURBANNE,69100
RHONE-ALP,VILLEFRANCHE-SUR-SAONE,6-456.493,LES 400 COUPS SALLE,60 RUE DE LA BARMONDIERE,,VILLEFRANCHE SUR SAONE,69400
RHONE-ALP,VILLEFRANCHE-SUR-SAONE,6-456.493,LES 400 COUPS SALLE,60 RUE DE LA BARMONDIERE,,VILLEFRANCHE SUR SAONE,69400
RHONE-ALP,VILLEFRANCHE-SUR-SAONE,6-456.491,REX,3 RUE DES REMPARTS,,VILLEFRANCHE SUR SAONE,69400
RHONE-ALP,VILLEFRANCHE-SUR-SAONE,6-456.491,REX,3 RUE DES REMPARTS,,VILLEFRANCHE SUR SAONE,69400
RHONE-ALP,VILLEFRANCHE-SUR-SAONE,6-456.451,EDEN,333 RUE NATIONALE,,VILLEFRANCHE,69400
RHONE-ALP,VILLEFONTAINE,6-456.251,FELLINI,SARL FELICINE,RUE SERGE MAUROIT,VILLEFONTAINE,38090
RHONE-ALP,VILLARS LES DOMBES,6-455.071,FAMILIAL,RUE DE BUGEY,,VILLARS LES DOMBES,1330
RHONE-ALP,VILLAREMBERT,6-454.712,ARIANE,IMMEUBLE CERES,,VILLAREMBERT STATION DU CORBIER,73300
RHONE-ALP,VILLARD,6-454.671,LA TRACE,ROUTE DE LATHUILLE,MAISON PAROISSIALE,BOEGE,74420
RHONE-ALP,VILLARD-DE-LANS,6-454.531,REX I,127 RUE LYCEE POLONAIS,,VILLARD DE LANS,38250
RHONE-ALP,VILLARD-BONNOT,6-454.504,ESPACE ARAGON,19 BIS BD JULES FERRY,,VILLARD-BONNOT,38190
RHONE-ALP,VIENNE,6-452.571,AMPHI,8/10 RUE ROCHEBRUN,,VIENNE,38200
